"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"Teensy40_nosilk";1;"Teensy4.0";;;
2;"J4";"Molex_PicoBlade_53047-0810_1x08_P1.25mm_Vertical";1;"Conn_01x08_Male";;;
3;"J2";"Molex_PicoBlade_53048-1410_1x14_P1.25mm_Horizontal";1;"Conn_01x14_Male";;;
4;"J3";"RF_SMA_BoardEdge_142-0701-801";1;"142-0701-801";;;
5;"R16,R15,R14";"0603";3;"390";;;
6;"R13";"0603";1;"2,2k";;;
7;"R12";"0603";1;"2.2k";;;
8;"R11,R5,R1";"0603";3;"1k";;;
9;"D7";"LED-0603";1;"GPS_PPS2";;;
10;"D6";"LED-0603";1;"MCU_D6";;;
11;"D5";"LED-0603";1;"MCU_D7";;;
12;"D4";"LED-0603";1;"KLINE";;;
13;"D3";"LED-0603";1;"PWR_EN";;;
14;"D1";"LED-0603";1;"5V";;;
15;"FB1";"0603";1;"FERRITE_BEAD-0603";;;
16;"R10";"0603";1;"120-DNP";;;
17;"R9,R8,R3";"0603";3;"0-DNP";;;
18;"BT1";"BATTCON-6.8MM";1;"BATTERY-6.8MM_SMD";;;
19;"U5";"ublox_NEO";1;"NEO-M8T";;;
20;"U4";"SOT-23-6";1;"TPS563200DDCR";;;
21;"R7";"0603";1;"10.0k";;;
22;"R6";"0603";1;"56.2k";;;
23;"R4";"0603";1;"1k-DNP";;;
24;"R2";"0603";1;"0";;;
25;"L1";"IHLP2020BZER4R7M11";1;"4.7uH";;;
26;"C3";"1210";1;"47uF";;;
27;"C2";"0603";1;"0.1uF";;;
28;"C1";"1210";1;"22uF";;;
29;"D2";"DO-41";1;"1N4007-T_NRND";;;
30;"U1";"SN65HVDA195QDRQ1";1;"SN65HVDA195QDRQ1";;;
31;"J1";"OBDII";1;"OBDII";;;
32;"U2";"SOIC-8_W3.9mm";1;"MCP2551-I_SN";;;
